ID,Translation
7377,COLORFUL
1028,Dell
148C,PowerColor
17AA,Lenovo
1569,PALIT
1043,ASUS
152D,Quanta
1B4C,GALAX
1558,Clevo
1462,MSI
1682,XFX
19DA,ZOTAC
103C,HP
1849,ASRock
174B,SAPPHIRE
1ACC,POINT OF VIEW
1565,BIOSTAR
1179,Toshiba
106B,Apple
1014,IBM
1A58,Razer
1019,ECS
1787,ATI AIB
1025,Acer
3842,EVGA
10CF,Fujitsu
1002,AMD
144D,Samsung
17FF,BenQ
1458,GIGABYTE
10DE,NVIDIA
8086,Intel
0000,Unknown
1DA2,SAPPHIRE
10B0,GAINWARD
148C,PowerColor
7333,COLORFIRE
1B35,Great Wall
1E7B,PowerColor
1D05,AIstone Global Limited
1D72,Xiaomi
1B0A,Pegatron
10FD,SOYO
0731,Jingjia Micro
1EC9,Wingtech
10FD,SOYO
19E5,HUAWEI
196E,PNY
107D,Leadtek
1ED3,Yeston
1EF7,GUNNIR
1ED5,Moore Threads
